new entry "AncestralGuardian_Summon"
type "Character"
using "ScryingEye"
data "Strength" "1"
data "Dexterity" "1"
data "Constitution" "1"
data "Intelligence" "1"
data "Wisdom" "1"
data "Charisma" "1"
data "Vitality" "1"
data "Sight" "2200"
data "Weight" "1"
data "DefaultBoosts" "Invulnerable();DialogueBlock();ObjectSizeOverride(Tiny)"
data "PersonalStatusImmunities" "UNCONSCIOUS;SCL_SHADOW_CURSE;SILENCED;BLEEDING;GAPING_WOUND;CHEST_TRAUMA;DAZED;CRIPPLED;OFF_BALANCED;SHOCKED;BURNING;WILD_MAGIC_BURNING;SG_Condition;SG_Blinded;SG_Charmed;SG_Cursed;SG_Disease;SG_Exhausted;SG_Frightened;SG_Incapacitated;SG_Poisoned;SG_Prone;SG_Restrained;SG_Stunned;SG_Unconscious;SG_Polymorph;SG_Paralyzed;SG_Petrified;SG_Drunk;SG_Sleeping;SG_CanBePickedUp;SG_Approaching;SG_Taunted;SG_Dominated;SG_Fleeing;SG_Confused;SG_Mad;HEAL"
data "BludgeoningResistance" "Immune"
data "SlashingResistance" "Immune"
data "PiercingResistance" "Immune"
data "AcidResistance" "Immune"
data "ColdResistance" "Immune"
data "FireResistance" "Immune"
data "LightningResistance" "Immune"
data "NecroticResistance" "Immune"
data "PoisonResistance" "Immune"
data "PsychicResistance" "Immune"
data "RadiantResistance" "Immune"
data "ThunderResistance" "Immune"
data "ForceResistance" "Immune"
data "DifficultyStatuses" ""
