new entry "MisleadIllusion"
type "Character"
using "_Summons"
data "Strength" "1"
data "Dexterity" "1"
data "Constitution" "1"
data "Intelligence" "1"
data "Wisdom" "1"
data "Charisma" "1"
data "Vitality" "1"
data "Armor" "10"
data "XPReward" "40806669-8c6b-4068-8bc4-07e4981bb020"
data "Sight" "1850"
data "Hearing" "1800"
data "Flags" ""
data "DefaultBoosts" "Attribute(Grounded);IgnoreFallDamage();DialogueBlock();CriticalHit(AttackTarget,Failure,Never);CriticalHit(AttackTarget,Success,Never)"
data "PersonalStatusImmunities" "SG_Condition;SG_Blinded;SG_Charmed;SG_Cursed;SG_Disease;SG_Exhausted;SG_Frightened;SG_Incapacitated;SG_Poisoned;SG_Prone;SG_Restrained;SG_Stunned;SG_Unconscious;SG_Polymorph;SG_Paralyzed;SG_Petrified;SG_Drunk;SG_Sleeping;SG_CanBePickedUp;SG_Approaching;SG_Taunted;SG_Dominated;SG_Fleeing;SG_Confused;SG_Mad;SG_DifficultTerrain;SG_Surface;SG_Helpable_Condition;UNCONSCIOUS;SCL_SHADOW_CURSE;SILENCED;BLEEDING;GAPING_WOUND;CHEST_TRAUMA;DAZED;CRIPPLED;OFF_BALANCED;SHOCKED;BURNING;WILD_MAGIC_BURNING;HASTE;HASTE_SURFACE;MAG_CELESTIAL_HASTE;POTION_OF_SPEED;CONS_DRUG_STIMULANT;LONGSTRIDER;MAG_END_GAME_LONGSTRIDER;PACK_HOWL_WOLF_DIRE;PACK_HOWL_WOLF_DIRE_NPC;ASPECT_OF_THE_ELK_AURA;ALCH_ELIXIR_BLOODLUST_TEMPAP;TAD_MIND_SANCTUARY_HASTE;DISARM;DISARM_STEAL"
data "PathInfluence" ""
data "ActionResources" ""
data "Passives" "Illusion_AIIgnore"
data "BludgeoningResistance" ""
data "SlashingResistance" ""
data "PiercingResistance" ""
data "AcidResistance" ""
data "ColdResistance" ""
data "FireResistance" ""
data "ForceResistance" ""
data "LightningResistance" ""
data "NecroticResistance" ""
data "PoisonResistance" ""
data "PsychicResistance" ""
data "RadiantResistance" ""
data "ThunderResistance" ""
data "MinimumDetectionRange" "0"
data "DifficultyStatuses" ""

