new entry "Target_Intoxicated_Frenzy"
type "SpellData"
data "SpellType" "Target"
data "SpellProperties" "IF(not Player(context.Source)):ApplyStatus(SELF,AI_HELPER_EXTRAATTACK,100,1);RemoveStatus(SELF,INTOXICATED_FRENZY)"
data "RequirementConditions" "not HasStatus('SG_Polymorph_BeastShape')"
data "Cooldown" "OncePerTurn"
data "SpellRoll" "Attack(AttackType.MeleeUnarmedAttack)"
data "SpellSuccess" "DealDamage(UnarmedDamage , Bludgeoning)"
data "TargetConditions" "not Dead() and not Self() and Character()"
data "AmountOfTargets" "3"
data "TargetRadius" "2.5"
data "Icon" "Action_Monk_FlurryOfBlows"
data "DisplayName" "defe2235-3f45-4ace-bdd9-df728ed9a38f;1"
data "Description" "5d984cf7-9ccc-4409-bb79-5d9cac82229b;2"
data "TooltipDamageList" "DealDamage(LevelMapValue(MartialArts)+DexterityModifier, Bludgeoning)"
data "PrepareSound" "Vocal_Component_Monk_Damage"
data "CastSound" "Spell_Cast_Monk_UnarmedStrike_L1to3"
data "TargetSound" "Spell_Impact_Monk_UnarmedStrike_L1to3"
data "SpellAnimation" "3acc079d-c27c-4568-9205-61150621c271,,;55562ea5-4c1c-4682-a824-d65a4e647ae8,,;b62ae1c7-0846-41ce-8377-780c90cf1ff5,,;a6456c59-0ad3-4311-a5d8-02bce73ac18a,,;b3299f52-cd3a-47a3-8432-2f97777c04c4,,;,,;0b07883a-08b8-43b6-ac18-84dc9e84ff50,,;,,;,,"
data "VerbalIntent" "Damage"
data "SpellStyleGroup" "Class"
data "SpellFlags" "IsMelee;IsHarmful;Temporary;DisableBlood;IgnorePreviouslyPickedEntities"
data "CastEffect" "9d8f170e-35d7-4cdb-b1f9-5493cf771b19"
data "UseCost" ""
data "DamageType" "Bludgeoning"
data "Sheathing" "DontChange"
