new entry "Projectile_StormRuneFX"
type "SpellData"
data "SpellType" "ProjectileStrike"
data "SpellProperties" ""
data "AreaRadius" "1"
data "TargetFloor" "-1"
data "ExplodeRadius" "1"
data "SpellRoll" ""
data "SpellSuccess" ""
data "SpellFail" ""
data "TargetConditions" "Character() and not Dead()"
data "TargetProjectiles" "Yes"
data "ProjectileCount" "1"
data "ProjectileDelay" "1"
data "Angle" "90"
data "Height" "12"
data "Template" ""
data "Trajectories" "402baa99-c237-4a24-b6e2-295c162f5c08"
data "CastTextEvent" "Cast"
data "Icon" "Spell_Conjuration_CallLightning"
data "DisplayName" ""
data "TooltipDamageList" ""
data "ProjectileType" ""
data "Distribution" "Normal"
data "SpellAnimation" "73afb4e5-8cfe-4479-95cf-16889597fee3,,;7e67bfd0-2fc2-4d10-bed5-cfda9e660de5,,;eb054308-7fce-4b85-bf4c-7a0031fda7ac,,;0b0dc35b-4953-45c0-a9eb-8d3fef5e798a,,;6ec808e1-e128-44ef-9361-a713bf86de8f,,;b2e9c771-3497-444c-b360-23b4441985a1,,;,,;,,;,,"
data "HitAnimationType" "None"
