new entry "Shout_DefensiveStance_FS"
type "SpellData"
data "SpellType" "Shout"
data "SpellProperties" "ApplyStatus(SELF,DEFENSIVE_STANCE,100,1)"
data "TargetConditions" "Self()"
data "Icon" "Spell_Divination_TrueStrike"
data "DisplayName" "hcaag1272dec6gef2ddcc27g7765g85b63b17;1"
data "Description" "hd401bd4fa60119973376eea3c46c87g22d58;1"
data "TooltipStatusApply" "ApplyStatus(DEFENSIVE_STANCE,100,1)"
data "CastSound" "Spell_Cast_Debuff_TrueStrike_L1to3"
data "TargetSound" "Spell_Impact_Debuff_TrueStrike_L1to3"
data "PreviewCursor" "Cast"
data "CastTextEvent" "Cast"
data "UseCosts" "BonusActionPoint:1"
data "SpellAnimation" "9122eb08-93f1-4010-a275-f5ae3ec7c76e,,;,,;9fb11cca-02d4-4d2f-955f-2826c0553b17,,;5103d398-d8de-4aa4-9633-db2e1b7f6254,,;5301d674-b7da-47b6-b4cf-2802ba33a9e9,,;,,;86b3cf93-21fb-4a3d-bed9-97d0a567d084,,;,,;,,"
data "VerbalIntent" "Healing"
data "SpellStyleGroup" "Class"
data "PrepareEffect" "bd833cb2-2d28-4533-bfdf-67e4f77dd10f"
data "CastEffect" "bc392fbd-4ca6-4066-954b-169eb0b963e0"
