new entry "Rush_RallyingSurgeRetreat"
type "SpellData"
data "SpellType" "Rush"
data "SpellSchool" "None"
data "Cooldown" ""
data "Damage" ""
data "Damage Range" ""
data "SpellProperties" "RemoveStatus(SELF,RALLYING_SURGE_RETREAT)"
data "TargetRadius" "6"
data "HitRadius" "2"
data "MovementSpeed" "12000"
data "TargetConditions" "Ally()"
data "Icon" "Action_Sprint"
data "DisplayName" "h9c1c65cag1648g4836g9953gecf069a20869;2"
data "Description" "h3915c981g07d9g4e53ga2f8g9b50878bb262;2"
data "CastSound" "Action_Cast_SprintForMomentum"
data "CycleConditions" "Character()"
data "CastTextEvent" "Cast"
data "UseCosts" ""
data "SpellAnimation" "eae21eb0-bde7-4c86-a197-12a2a0c3ecac,,;7bfeb9dd-1348-45c7-bff9-ed42f8cd43a1,,;b780092c-cc12-43d5-b60e-acbac3fdceed,,;abbeb7de-2128-4b16-95e5-7b9d7b1af2f9,,;e6a25c4b-816c-41e1-888a-50215d994b23,,;,,;0b07883a-08b8-43b6-ac18-84dc9e84ff50,,;,,;,,"
data "HitAnimationType" "None"
data "SpellFlags" ""
data "SpellAnimationIntentType" "Aggressive"
data "SpellCategory" "SC_Dash"
data "RequirementConditions" ""
data "PrepareEffect" "36c4b07b-13e2-4009-9f98-4232398deca1"
data "CastEffect" "72af83bb-bf81-4db5-81ae-03f618c0b4be"
data "DamageType" ""
data "StopAtFirstContact" "0"
data "HitExtension" "1"
data "OnlyHit1Target" "0"
data "Sheathing" "DontChange"
