new entry "Throw_TrickKnife_Throw"
type "SpellData"
data "SpellType" "Throw"
data "TargetFloor" "-1"
data "TargetRadius" "18"
data "SpellRoll" "Attack(AttackType.RangedWeaponAttack)"
data "SpellSuccess" "DealDamage(LevelMapValue(SneakAttack)+DexterityModifier,Piercing);IF(HasPassive('TavernBrawler',context.Source)):DealDamage(LevelMapValue(GreatWeaponMaster),Piercing);"
data "TargetConditions" "not Self() and not Dead()"
data "Trajectories" "ff93ba9c-124c-454e-ac8c-436c136bcef2,75d615be-9277-6e22-6c17-fa51981d7560,8c00238b-549d-dc71-8fcb-42ba68bae142"
data "Icon" "GenericIcon_Intent_Damage"
data "DisplayName" "h9232a273g03e5g16ffg026cgb90945247a44;1"
data "Description" "h8384b537g605cgfdd8ge4a0g169a7163afc4;1"
data "TooltipDamageList" "DealDamage(LevelMapValue(SneakAttack)+DexterityModifier,Piercing);"
data "UseCosts" "ActionPoint:1"
data "HitCosts" "SneakAttack_Charge:1;"
data "SpellAnimation" "e8075d90-9018-4b4a-8b2e-bab0cffe2fbd,,;f2803838-31cf-471b-85d1-92fa2d0eb7c2,,;4be0751c-9fca-4c35-9337-6bf8a321c516,,;86b52093-596c-4054-bb1d-2dbdfcdc4347,,;e1726462-6f35-4551-af40-5247a314f38d,,;,,;,,;,,;,,"
data "SpellFlags" "RangeIgnoreVerticalThreshold;IsHarmful;CannotTargetItems"
data "SpellActionType" "Throw"
data "HitAnimationType" "PhysicalDamage"
data "SpellAnimationIntentType" "Aggressive"
data "PrepareEffect" "d22b072c-466c-4e83-a692-6db08d9e1a54"
data "CastEffect" "bf5fa9ef-7d14-4061-b393-10852789ff1b"
data "TargetEffect" "b51922cf-e412-4462-8274-144781bac7f3"

