///////////////////////////////////////////
//            Level 0/Class              //
///////////////////////////////////////////

new entry "KW_Ki_Flight_1"
type "SpellData"
data "SpellType" "Projectile"
using "Projectile_Jump"
data "TargetRadius" "10"
data "AddRangeFromAbility" ""
data "TargetConditions" "not Surface('SurfaceChasm')"
data "Trajectories" "64046453-9e1f-4f1d-a86d-f4dc4acff457,50f2bac9-61a4-489c-c70f-c3881062f2a2,d9e4cf4d-3a9a-d3d5-8ee3-afcf139aa3dc"
data "Icon" "Action_Fly"
data "DisplayName" "hf4ad77ffg4461g44c3g8866geb0e89799402;1"
data "Description" "h56e526acgc8feg471ag90d0g7d01e859a42b;1"
data "ExtraDescription" ""
data "PrepareSound" "Action_Prepare_Fly"
data "PrepareLoopSound" "Action_Loop_Fly"
data "CastSound" "Action_Cast_Fly"
data "UseCosts" "BonusActionPoint:1;Movement:Distance;KW_Energy:Distance*3"
data "SpellAnimation" "b94b9184-9bd0-4840-be7d-003700173b37,,;,,;5df11e35-f081-44f7-bd6f-7049d0e533cd,,;a508bef8-6767-4560-ac3a-6c04132c825e,,;066f8e0e-b3e1-4b76-a473-d1e23a3b7230,,;,,;7a28f440-1b0b-4a18-96a8-3767959b601a,,;,,;,,"
data "SpellFlags" "IsJump;HasHighGroundRangeExtension;IgnoreVisionBlock;RangeIgnoreVerticalThreshold;Stealth;Invisible;CannotTargetCharacter;CannotTargetItems;NoAOEDamageOnLand"
data "SpellJumpType" "Flight"
data "PrepareEffect" "e10fa2ab-984e-4ab7-b756-4982dfca4018"
data "CastEffect" "8b2df096-373b-4323-b5bc-6cf2c3db8281"

new entry "KW_Ki_Flight_2"
type "SpellData"
data "SpellType" "Projectile"
using "KW_Ki_Flight_1"
data "TargetRadius" "12"
data "UseCosts" "BonusActionPoint:1;Movement:Distance;KW_Energy:Distance*2.5"

new entry "KW_Ki_Flight_3"
type "SpellData"
data "SpellType" "Projectile"
using "KW_Ki_Flight_1"
data "TargetRadius" "14"
data "UseCosts" "BonusActionPoint:1;Movement:Distance;KW_Energy:Distance*2"

new entry "KW_Ki_Flight_4"
type "SpellData"
data "SpellType" "Projectile"
using "KW_Ki_Flight_1"
data "TargetRadius" "16"
data "UseCosts" "BonusActionPoint:1;Movement:Distance;KW_Energy:Distance*1.5"

///////////////////////////////////////////
//            Level 1                    //
///////////////////////////////////////////

new entry "KW_KiBlast"
type "SpellData"
data "SpellType" "Projectile"
data "MemoryCost" "1"
data "Level" "1"
data "SpellSchool" "Evocation"
data "TargetFloor" "-1"
data "TargetRadius" "18"
data "AmountOfTargets" "1"
data "SpellRoll" "Attack(AttackType.RangedSpellAttack)"
data "SpellSuccess" "DealDamage(LevelMapValue(KW_D10Ki_Technique)+SpellCastingAbilityModifier,Force)"
data "TargetConditions" "not Self() and not Dead()"
data "ProjectileCount" "1"
//data "Trajectories" "c7cd4b0a-2b2e-47ae-a4e8-849ad5d448f8"
data "Icon" "Action_KiBlast"
data "DisplayName" "h2e1371f1g8bdeg4763g8d41g3a8379d900d0"
data "Description" "h6bf37996g73cdg4b8cg8cf7g724b9efecf19;1"
data "TooltipDamageList" "DealDamage(LevelMapValue(KW_D10Ki_Technique)+SpellCastingAbilityModifier,Force)"
data "PrepareSound" "Spell_Prepare_Damage_Force_Gen_L1to3"
data "PrepareLoopSound" "Spell_Prepare_Damage_Force_Gen_L1to3_Loop"
data "CastSound" "Spell_Cast_Damage_Thunder_ChromaticOrbThunder_L1to3"
data "CastTextEvent" "Cast"
data "CycleConditions" "Enemy() and not Dead()"
data "TooltipAttackSave" "RangedSpellAttack"
data "UseCosts" "ActionPoint:1;KW_Energy:1"
data "SpellAnimation" "3ff87abf-1ea1-4c32-aadf-c822d74c7dc0,,;,,;38cdb41c-2eec-4e03-bb31-83cff0346c35,,;85414f5f-b448-4dda-9370-1b6c4b38b561,,;d8925ce4-d6d9-400c-92f5-ad772ef7f178,,;,,;eadedcce-d01b-4fbb-a1ae-d218f13aa5d6,,;,,;,,"
data "VerbalIntent" "Damage"
data "SpellFlags" "HasHighGroundRangeExtension;RangeIgnoreVerticalThreshold;IsHarmful;AddFallDamageOnLand"
//data "PrepareEffect" "db5705a1-824d-42a3-8d09-2352b9cd4af9"
//data "CastEffect" "2b284468-04a1-4730-a5c0-8ce54afbd937"
data "Trajectories" "792ba497-672c-4325-8b15-828990065711"
data "PrepareEffect" "c88e9cf1-5324-4bbe-8be7-20b7bbff29d6"
data "CastEffect" "e235ca47-29a1-45c4-a0ad-b25d24398b77"
data "DamageType" "Force"

new entry "KW_DestructoDisc"
type "SpellData"
data "SpellType" "Projectile"
data "TargetFloor" "-1"
data "TargetRadius" "18"
data "SpellRoll" "Attack(AttackType.RangedSpellAttack)"
data "SpellSuccess" "DealDamage(LevelMapValue(KW_D6Ki_Technique)+SpellCastingAbilityModifier,Slashing);DealDamage(1d6,Radiant);ApplyStatus(BLEEDING,100,2);IF(IsCritical()):ApplyStatus(BLEEDING,100,2)"
data "TargetConditions" "not Self() and not Dead()"
