new entry "liliqianshi"
type "Character"
using "_Summons"
data "Level" "12"
data "Vitality" "150"
data "Strength" "30"
data "Dexterity" "10"
data "Constitution" "30"
data "Intelligence" "10"
data "Wisdom" "10"
data "Charisma" "10"
data "Vitality" "20"
data "XPReward" ""
data "Weight" "1.35"
data "Flags" "Grounded;Floating"
data "DefaultBoosts" "DialogueBlock();AttackSpellOverride(lingjianzhan, yiqiyujian);BlockRegainHP(Undead;Construct;Living);Tag(ACT2_SHADOW_CURSE_IMMUNE)"
data "PersonalStatusImmunities" "SG_Condition;SG_Blinded;SG_Charmed;SG_Cursed;SG_Disease;SG_Exhausted;SG_Frightened;SG_Incapacitated;SG_Invisible;SG_Poisoned;SG_Prone;SG_Restrained;SG_Stunned;SG_Unconscious;SG_Polymorph;SG_Paralyzed;SG_Petrified;SG_Drunk;SG_Sleeping;SG_CanBePickedUp;SG_Approaching;SG_Taunted;SG_Dominated;SG_Fleeing;SG_Confused;SG_Mad"
data "SpellCastingAbility" "Wisdom"
data "ActionResources" "ActionPoint:1;BonusActionPoint:1;Movement:64"
data "Passives" "ExtraAttack_2;Ethereal;jianxintongming;shensufu;yuleizhenjue;shenjianfu;leifa;tianjiafu"
data "BludgeoningResistance" "Resistant"
data "SlashingResistance" "Resistant"
data "PiercingResistance" "Resistant"
data "AcidResistance" "Resistant"
data "ColdResistance" "Resistant"
data "FireResistance" "Resistant"
data "ForceResistance" "Resistant"
data "LightningResistance" "Resistant"
data "NecroticResistance" "Resistant"
data "PoisonResistance" "Immune"
data "PsychicResistance" "Immune"
data "RadiantResistance" "Resistant"
data "ThunderResistance" "Resistant"
data "DarkvisionRange" "9"
