new entry "beidoujianzhen"
type "SpellData"
data "SpellType" "Wall"
data "Level" "9"
data "SpellSchool" ""
data "TargetRadius" "30"
data "MaxDistance" "6"
data "Lifetime" "6"
data "SurfaceType" "BladeBarrier"
data "SurfaceRadius" "1"
data "Icon" "Spell_Evocation_BladeBarrier"
data "DisplayName" "h45bca246gcc31g4bc4gaa4agf77d12723368;1"
data "Description" "h3ca153e9gc2c4g406aga1ddgabca4a28360a;1"
data "TooltipDamageList" "DealDamage(10d10,Piercing)"
data "TooltipAttackSave" "Dexterity"
data "TooltipStatusApply" "ApplyStatus(DIFFICULT_TERRAIN,100,1)"
data "PrepareSound" "Spell_Prepare_ClericSummon_Gen"
data "PrepareLoopSound" "Spell_Loop_ClericSummon_Gen"
data "CastSound" "Spell_Cast_Cleric_BladeBarrier_L6to8"
data "CastTextEvent" "Cast"
data "UseCosts" "ActionPoint:1"
data "SpellAnimation" "6f42f5f3-7a5a-4441-a02e-71b0450ac4b7,,;,,;6123de84-27e4-4e81-9e1f-8031cc0ebc0d,,;cb171bda-f065-4520-b470-e447f678ba1f,,;42aaefdc-cf9b-4249-b159-285041851f69,,;,,;20e11c98-fff9-4417-88de-5bcc2368a1bd,,;,,;,,"
data "SpellFlags" "HasVerbalComponent;HasSomaticComponent; IsSpell"
data "VerbalIntent" "Damage"
data "ItemWall" "beidoujianjie"
data "ItemWallStatus" "beidoujianjie"
data "PrepareEffect" "7e42016a-29f9-4922-908b-dbf010dff168"
data "CastEffect" "5b4258fa-dd70-47b4-940d-8492b802ecd6"
data "SpellSoundMagnitude" "Big"
