new entry "Teleportation_DevouringNight_NB438"
type "SpellData"
data "SpellType" "Teleportation"
data "SpellSchool" "Evocation"
data "Cooldown" "OncePerShortRest"
data "TargetRadius" "9"
data "AreaRadius" "18"
data "LineOfSightFlags" "AddSourceHeight"
data "SpellProperties" "GROUND:TeleportSource();"
data "OriginSpellProperties" "ApplyStatus(SELF,DEVOURINGNIGHT_NB438,100,2);"
data "OriginSpellSuccess" "ApplyStatus(NIGHTBRAND_NIGHTEYE_NB438, 100, 2);"
data "OriginSpellFail" "ApplyStatus(NIGHTBRAND_NIGHTEYE_NB438, 100, 2);"
data "OriginTargetConditions" "Character() and not Self()"
data "TeleportSelf" "Yes"
data "Icon" "Spell_Evocation_DevouringNight_NB438"
data "DisplayName" "h83a54061ge07cg591cgbc71g2d48ccd5c79c;1"
data "Description" "hbab70e35g4cf7g58bag8d8age043aa871925;11"
data "TooltipStatusApply" "ApplyStatus(DEVOURINGNIGHT_NB438,100,2)"
data "PrepareSound" "Spell_Prepare_Barbarian_Wildmagic_ExplodingFlumph_L1to3"
data "PrepareLoopSound" "CrSpell_Loop_DisplacerBeast_CreateIllusion"
data "CastSound" "CrSpell_Cast_DisplacerBeast_Displacement"
data "TargetSound" "Spell_Impact_Tadpole_PsionicPull_L1to3"
data "PreviewCursor" "Cast"
data "CastTextEvent" "Cast"
data "UseCosts" "ActionPoint:1"
data "SpellAnimation" "f94542d9-a79c-478a-92de-573cead9260e,,;,,;24894b2d-ae8c-4bd3-8dab-d75a3c83c710,,;d5efa641-3b51-4824-a0bd-96ae047aeb19,,;bd339475-d2b5-46e8-8d0c-9f2ad6a91328,,;,,;7a28f440-1b0b-4a18-96a8-3767959b601a,,;,,;,,"
data "SpellFlags" "IsSpell"
data "SpellAnimationIntentType" "Aggressive"
data "VerbalIntent" "Utility"
data "PrepareEffect" "c7a76b56-9cfd-4377-a444-4bf366a6a0db"
data "CastEffect" "3e5c3dfe-9f29-44f4-b66e-6dfaadd58b4d"
data "TargetEffect" "738430e8-f691-4286-b2e5-fe5b60e16aa1"

