new entry "STARRYCHALICE_FORM_NB438"
type "StatusData"
data "StatusType" "POLYMORPHED"
data "DisplayName" "h9fffbccbg9dedg7879gc22cgddf85b0e1b2e;2"
data "Description" "h5d89fb65g8fecgd6d6gfc78g254a0f960c05;4"
data "DescriptionParams" "DealDamage(1d4,Radiant);DealDamage(CharismaModifier,Radiant)"
data "Icon" "PassiveFeature_StarMap"
data "SoundLoop" "Spell_Status_WildShapeStars_MO"
data "SoundStop" "Spell_Status_WildShapeStars_MO_Stop"
data "StackId" "WILDSHAPE"
data "Boosts" "UnlockSpell(Shout_DismissStarryFormChalice_NB438);UnlockSpell(Target_ChaliceHeal_NB438);"
data "Passives" "ChaliceTrigger_NB438;StarryForm_Light;StarboundSacrament_NB438;"
data "TickFunctors" "DealDamage(1d4,Radiant)"
data "TickType" "StartTurn"
data "RemoveEvents" "OnCombatEnded"
data "OnApplyFunctors" "ApplyStatus(WILDSHAPE_STARRY_CHALICE_VFX,100,-1);ApplyStatus(SELF,WILDSHAPE_ACTIVE,100,-1);DealDamage(1d4,Radiant)"
data "OnRemoveFunctors" "RemoveStatus(WILDSHAPE_ACTIVE)"
data "Rules" "acc89ec3-a77f-45bc-be5d-8e0f0d7cc68a"
data "StatusGroups" "SG_Polymorph;SG_RemoveOnRespec"

