new entry "Chest_NB438"
type "Object"
data "RootTemplate" "75a8e75f-1aee-4308-b265-74fc4ab12684"
data "ValueLevel" "1"
data "ValueUUID" "870797b7-fb40-47ae-be7a-544c05c158c8"
data "ValueScale" "1"
data "ValueRounding" "1"
data "ValueOverride" "7"
data "Rarity" "Legendary"
data "Weight" "15"
data "Vitality" "100"
data "Armor" "0"
data "DefaultBoosts" "CriticalHit(AttackTarget,Failure,Never);CriticalHit(AttackTarget,Success,Never)"
data "InventoryTab" "Auto"
data "MinAmount" "1"
data "MaxAmount" "1"
data "Unique" "0"
data "MinLevel" "1"
data "ItemUseType" "None"
data "BludgeoningResistance" "Vulnerable"
data "PiercingResistance" "Resistant"
data "NecroticResistance" "Resistant"
data "PoisonResistance" "Immune"
data "PsychicResistance" "Immune"
data "RadiantResistance" "Resistant"
data "FallingHitEffect" "VFX_Combat_Bludgeoning_Damage_Critical_01"
data "FallingLandEffect" "VFX_Combat_Force_Land_01"
data "Sight" "0"
data "FOV" "0"
data "DarkvisionRange" "0"
data "MinimumDetectionRange" "0"

