new entry "FamiliarSpirit01_Dawnstar"
type "Character"
data "Strength" "10"
data "Dexterity" "10"
data "Constitution" "10"
data "Intelligence" "10"
data "Wisdom" "10"
data "Charisma" "10"
data "Armor" "15"
data "Vitality" "20"
data "XPReward" "40806669-8c6b-4068-8bc4-07e4981bb020"
data "Sight" "1"
data "Hearing" "1"
data "FOV" "1"
data "Weight" "50"
data "Flags" "InvulnerableAndInteractive;Floating;ThrownImmunity;SlippingImmunity"
data "DefaultBoosts" "DialogueBlock();BlockRegainHP(Undead;Construct;Living);CriticalHit(AttackTarget,Failure,Never);CriticalHit(AttackTarget,Success,Never)"
data "ProficiencyBonusScaling" "265d62c4-9b82-4ed6-9a86-da675b4ef8fe"
data "SpellCastingAbility" "Intelligence"
data "UnarmedAttackAbility" "Intelligence"
data "UnarmedRangedAttackAbility" "Strength"
data "BludgeoningResistance" "None;Resistant"
data "SlashingResistance" "None;Resistant"
data "PiercingResistance" "None;Resistant"
data "AcidResistance" "None;Immune"
data "ColdResistance" "None;Resistant"
data "FireResistance" "None;Resistant"
data "ForceResistance" "None;Resistant"
data "LightningResistance" "None;Resistant"
data "NecroticResistance" "None;Resistant"
data "PoisonResistance" "None;Resistant"
data "PsychicResistance" "None;Resistant"
data "RadiantResistance" "None;Resistant"
data "ThunderResistance" "None;Resistant"
data "MinimumDetectionRange" "0"
data "DarkvisionRange" "0"
data "FallingLandEffect" "VFX_Combat_Force_Land_01"

