new entry "Rush_AstralDive_Dawnstar"
type "SpellData"
data "SpellType" "Rush"
data "Level" "0"
data "SpellSchool" "Illusion"
data "Cooldown" "OncePerCombat"
data "TargetRadius" "9"
data "HitRadius" "1"
data "MovementSpeed" "40000"
data "SpellRoll" "Attack(AttackType.MeleeSpellAttack)"
data "SpellSuccess" "DealDamage(LevelMapValue(D4Cantrip),Thunder);ApplyStatus(PRONE,100,2)"
data "TargetConditions" "(not Ally() or Item()) and not Grounded() and not Dead()"
data "Icon" "Spell_Rush_AstralDive_DS"
data "DisplayName" "hc5f2e059gc4f7g12b0gae3dgfdc37de90d42;2"
data "Description" "hac510b22g38d3g2215gaf8fg23f472d757ad;5"
data "TooltipDamageList" "DealDamage(LevelMapValue(D4Cantrip),Thunder)"
data "TooltipAttackSave" "MeleeUnarmedAttack"
data "TooltipStatusApply" "ApplyStatus(PRONE,100,2)"
data "TooltipPermanentWarnings" "aa8beb3b-9199-4b22-9f73-26e2ae0ab6af"
data "PrepareSound" "Spell_Prepare_Fly_L4to5_01"
data "PrepareLoopSound" "Spell_Loop_Fly_L4to5"
data "CastSound" "Spell_Cast_Tadpole_ForceTunnel_L1to3"
data "CastTextEvent" "Cast"
data "Memory Cost" "0"
data "Requirements" "!Immobile"
data "CycleConditions" "Enemy()"
data "UseCosts" "ActionPoint:1"
data "SpellAnimation" "b94b9184-9bd0-4840-be7d-003700173b37,,;,,;5df11e35-f081-44f7-bd6f-7049d0e533cd,,;8dccb0f6-24e3-44b7-a60b-1f217b7db523,,;066f8e0e-b3e1-4b76-a473-d1e23a3b7230,,;,,;7a28f440-1b0b-4a18-96a8-3767959b601a,,;,,;,,"
data "SpellFlags" "IsHarmful;AddFallDamageOnLand;HasVerbalComponent;HasSomaticComponent;IsSpell"
data "SpellAnimationIntentType" "Aggressive"
data "VerbalIntent" "Utility"
data "PrepareEffect" "22bc21d9-b72f-4977-9479-6464d7313052"
data "CastEffect" "e13aba4c-77ba-4fb8-a5a6-b091b7cf99fe"
data "PreviewEffect" "1615a7f7-21d9-4dd0-849b-d3c79a57c5ff"
data "StopAtFirstContact" "0"
data "HitExtension" "1"
data "OnlyHit1Target" "0"
data "DamageType" "Thunder"
data "Sheathing" "DontChange"

