new entry "NightmareCreature_NB438"
type "Character"
data "Level" "1"
data "Strength" "18"
data "Dexterity" "16"
data "Constitution" "16"
data "Intelligence" "14"
data "Wisdom" "14"
data "Charisma" "20"
data "Armor" "16"
data "Vitality" "50"
data "XPReward" "40806669-8c6b-4068-8bc4-07e4981bb020"
data "Sight" "1600"
data "Hearing" "1100"
data "FOV" "90"
data "Weight" "80"
data "StepsType" "Clawed"
data "DefaultBoosts" "ProficiencyBonus(SavingThrow, Strength); ProficiencyBonus(SavingThrow, Constitution); ProficiencyBonus(SavingThrow, Intelligence); ProficiencyBonus(SavingThrow, Charisma); BlockRegainHP(Undead;Construct)"
data "PathInfluence" "BloodElectrified,100;BloodFrozen,30;Lava,700;HolyFire,40;PoisonCloud,70;WyvernPoison,70;DrowPoisonCloud,70;PurpleWormPoison,70;SerpentVenom,70;InvisibleGithAcid,70;CloudkillCloud,70;MaliceCloud,70;CrawlerMucusCloud,70;WaterElectrified,100;WaterFrozen,30;Grease,30;Web,30;Vines,40;SporeBlackCloud,100;WaterCloudElectrified,40;SporeGreenCloud,40;Acid,30;CausticBrine,40;DarknessCloud,30;FogCloud,30;Mud,30;Oil,30;Poison,30;SpikeGrowth,40;SporePinkCloud,40;StinkingCloud,40"
data "ProficiencyBonusScaling" "265d62c4-9b82-4ed6-9a86-da675b4ef8fe"
data "ProficiencyBonus" "4"
data "SpellCastingAbility" "Charisma"
data "UnarmedAttackAbility" "Strength"
data "UnarmedRangedAttackAbility" "Strength"
data "ActionResources" "ActionPoint:1;BonusActionPoint:1;Movement:0;ReactionActionPoint:1"
data "Passives" "AttackOfOpportunity;DarknessRules;Darkvision;NightmareRealmMindSanctuary_NB438"
data "MinimumDetectionRange" "2"
data "DarkvisionRange" "30"
data "FallingHitEffect" "VFX_Combat_Bludgeoning_Damage_Blood_01"
data "FallingLandEffect" "VFX_Combat_Force_Land_01"
data "ArmorType" "None"

