new entry "Projectile_TransformCrossbow_NB438"
type "SpellData"
data "SpellType" "Projectile"
data "Cooldown" "OncePerShortRest"
data "SpellProperties" "ApplyStatus(TRANSFORMAVATAR_NB438,100,1);ApplyStatus(TRANSFORMATIONSKIN_NB438,100,1);"
data "TargetRadius" "RangedMainWeaponRange"
data "AmountOfTargets" "1"
data "TargetConditions" "Ally() and not HasStatus('TRANSFORMAVATAR_NB438');"
data "Trajectories" "dcd437d8-cf25-463e-9a09-6f3bf651a191"
data "Icon" "TransformCrossbow_NB438"
data "DisplayName" "h4587c58bg17fegec45gc3a5g4b409415d02e;1"
data "Description" "ha3938578g9d7bg7a33g13a9g938dd9ff0aa3;2"
data "TooltipStatusApply" "ApplyStatus(TRANSFORMAVATAR_NB438,100,1)"
data "PrepareSound" "Proj_Arr_Prepare_ArrowOfAntimagic"
data "PrepareLoopSound" "Proj_Arr_Loop_ArrowOfAntimagic"
data "VocalComponentSound" "Vocal_Component_Curse"
data "PreviewCursor" "Bow"
data "CastTextEvent" "Cast"
data "SpellAnimation" "73afb4e5-8cfe-4479-95cf-16889597fee3,,;9583ecee-cf6c-4735-86db-7ebf1df15eae,,;de006e3f-70fb-4eb7-a98d-d845d15b20e8,,;50696db7-d931-4734-915d-32d038ba99a5,,;6ec808e1-e128-44ef-9361-a713bf86de8f,,;,,;f920a0a6-f257-4ce4-8d17-2dcaa7bb7bbb,,;,,;,,"
data "DualWieldingSpellAnimation" "73afb4e5-8cfe-4479-95cf-16889597fee3,,;7e67bfd0-2fc2-4d10-bed5-cfda9e660de5,,;eb054308-7fce-4b85-bf4c-7a0031fda7ac,,:4a789a60-04b8-4a26-b476-65cf26ca558b,,;a11b8bcb-ba24-417a-aa86-4e4379c41ee2,,;6ec808e1-e128-44ef-9361-a713bf86de8f,,;b2e9c771-3497-444c-b360-23b4441985a1,,;f920a0a6-f257-4ce4-8d17-2dcaa7bb7bbb,,;,,;,,"
data "VerbalIntent" "Utility"
data "WeaponTypes" "Ammunition"
data "Requirements" "Combat;"
data "PrepareEffect" "f9c3ddd6-ad46-428f-9741-eebff5d5b3ff"
data "CastEffect" "1bfc1fed-0399-4f0f-b6d3-275fb4afa413"
data "TargetEffect" "8eff6c2e-8ba6-4f44-b5fe-5390c4e2fbec"
data "SpellSoundMagnitude" "None"
data "Sheathing" "Ranged"

