new entry "Target_ShapeWater_Freeze"
type "SpellData"
data "SpellType" "Target"
data "Level" "0"
data "SpellSchool" "Transmutation"
data "SpellContainerID" "Target_ShapeWater"
data "DisplayName" "he2cd9f3agf489g46a0ga3fag3ee284b2e9e2;1"
data "Description" "h8b79b41cg27eag4a00gaa1dg039d29a121ab;1"
data "SpellProperties" "GROUND:SurfaceChange(Freeze);"
data "TargetRadius" "9"
data "AreaRadius" "3"
data "TargetConditions" "IsWaterBasedSurface();"
data "Icon" "Spell_Transmutation_ShapeWater"
data "PrepareSound" "CrSpell_Prepare_Myrmidon_Water"
data "CastSound" "Spell_Cast_Utility_CreateWater_L1to3"
data "TargetSound" "Spell_Impact_Utility_CreateWater_L1to3"
data "VocalComponentSound" "Vocal_Component_CreateWater"
data "PreviewCursor" "Cast"
data "CastTextEvent" "Cast"
data "UseCosts" "ActionPoint:1"
data "SpellAnimation" "dd86aa43-8189-4d9f-9a5c-454b5fe4a197,,;,,;09ae2f11-f5b4-42f5-ae16-687a5b57d500,,;10caea0e-c949-4d91-8ab7-3b50019dd054,,;cc5b0caf-3ed1-4711-a50d-11dc3f1fdc6a,,;,,;1715b877-4512-472e-9bd0-fd568a112e90,,;,,;,,"
data "VerbalIntent" "Utility"
data "SpellFlags" "HasSomaticComponent;IsSpell;RangeIgnoreVerticalThreshold;IsLinkedSpellContainer"
data "PrepareEffect" "1ed04632-bb63-4bae-9e59-9b4584b0d840"
data "CastEffect" "98f9b895-4dae-4e8d-8348-948010e83255"
data "PositionEffect" "258b3997-df2d-475b-8812-94b9b6979885"

