new entry "FROZEN"
type "StatusData"
data "StatusType" "INCAPACITATED"
data "DisplayName" "hc8c1018bg91f4gac56g3223ge0b2d1f87a35;1"
data "Description" "h85a9d2bcg2756g0f44g2345g02cfa315f832;1"
data "Icon" "Status_Frozen"
data "FormatColor" "Water"
data "MaterialType" "FadingOverlay"
data "MaterialApplyBody" "Yes"
data "MaterialApplyArmor" "Yes"
data "MaterialApplyWeapon" "Yes"
data "MaterialApplyNormalMap" "Yes"
data "MaterialFadeAmount" "3000"
data "MaterialParameters" "freezeDirection:SourceDirection"
data "AnimationLoop" "5f127742-79d4-4590-839f-6eb5ae45930d(REAC_Magic_External_Combat_01)"
data "AnimationEnd" "5f127742-79d4-4590-839f-6eb5ae45930d(REAC_Magic_External_Combat_01)"
data "StillAnimationType" "Petrified"
data "StillAnimationPriority" "Downed"
data "SoundStart" "Status_Tex_Frozen_Start"
data "SoundLoop" "Misc_Status_Frozen_MO"
data "SoundStop" "Misc_Status_Frozen_MO_Stop"
data "FreezeTime" "500"
data "Boosts" "DetectDisturbancesBlock(true);Resistance(Bludgeoning,Vulnerable);Resistance(Thunder,Vulnerable);Resistance(Force,Vulnerable);Resistance(Fire, Resistant);StatusImmunity(BURNING);StatusImmunity(MAG_FROST)"
data "StatusPropertyFlags" "InitiateCombat;OverheadOnTurn"
data "StatusGroups" "SG_Condition;SG_Incapacitated"
data "OnApplyFunctors" "BreakConcentration();RemoveStatus(MAG_FROST)"
data "StatusEffect" "62318bbf-d36a-497c-91a4-bda8f7fb7af7"

